id,title,rating,movie_year,movie_country,movie_type,movie_actor
36208896,火拼,6.0,2026,中国香港 中国大陆,动作 犯罪,吴家伟方中信 吕良伟
37806619,这就是我,6.7,2026,日本,音乐 传记,松本优作望月春希 木村多江
37571351,第六十届超级碗中场秀,8.1,2026,美国,音乐 歌舞,哈密什·汉密尔顿坏痞兔 Lady Gaga
36066090,瑞典救援暗线,7.0,2026,瑞典,传记 历史 战争,特蕾兹·阿尔贝克 马库斯·奥尔森亨里克·多尔辛 西塞拉·本
37195133,我独自蜜月,6.1,2026,美国,喜剧 爱情,查尔斯·金南 丹尼尔·金南凯文·詹姆斯 妮可·吉玛多
36978169,与王生活的男人,7.4,2026,韩国,历史,张抗俊柳海真 朴志训
37296908,非传统浪漫关系,5.8,2026,中国大陆,喜剧 爱情,梁文哲朱颜曼滋 任彬
36117593,机动战士高达 闪光的哈萨维 喀耳刻的魔女,8.1,2026,日本,科幻 动画 战争,村濑修功小野贤章 上田丽奈
36892468,庇护之地,5.9,2026,英国 美国 加拿大,动作 惊悚,里克·罗曼·沃夫杰森·斯坦森 博德希·蕾·布里纳希
36371992,铁肺,5.5,2026,美国,恐怖,马克·费施巴赫马克·费施巴赫 卡萝·卡普兰
36977669,东北警察故事3,7.3,2026,中国大陆,喜剧 动作 犯罪,杨秉佳谢苗 林晓杰
38222804,大蛇5：怪兽都市,5.4,2026,中国大陆,动作 惊悚 恐怖 冒险 灾难,林珍钊张傲月 梁颂晴
34864022,请求救援,6.6,2026,美国 加拿大 英国 澳大利亚 泰国,惊悚 恐怖 冒险,山姆·雷米瑞秋·麦克亚当斯 迪伦·奥布莱恩
37032137,特工迷阵,5.8,2026,新西兰 美国,喜剧 动作 悬疑 犯罪,安杰尔·曼纽尔·索托杰森·莫玛 戴夫·巴蒂斯塔
36116692,眨眼之间,6.6,2026,美国,科幻,安德鲁·斯坦顿凯特·麦克金农 戴维德·迪格斯
37207219,绚烂一刻,6.6,2026,美国,未知,艾丹·扎米里查莉XCX 亚历山大·斯卡斯加德
37246591,伪术奇才,6.6,2026,意大利,历史,斯特凡诺·洛维奇彼得洛·卡斯特里图 朱莉娅·米切利尼
37134618,爆水管,5.7,2026,中国大陆,喜剧 犯罪,周涤啡彭于晏 艾伦
37825206,超时空辉夜姬！,8.3,2026,日本,科幻 动画 音乐 奇幻,山下清悟夏吉优子 永濑安奈
36749573,极限审判,7.2,2026,美国,动作 科幻 悬疑,提莫·贝克曼贝托夫克里斯·帕拉特 丽贝卡·弗格森
36932394,全信没收,6.6,2026,美国,动作 悬疑 惊悚 犯罪,乔·卡纳汉马特·达蒙 本·阿弗莱克
36850893,惊变28年2：白骨圣殿,6.4,2026,英国 美国 加拿大,科幻 惊悚 恐怖,尼娅·达科斯塔拉尔夫·费因斯 杰克·奥康奈尔
37193378,不过是上班,6.0,2026,中国大陆,喜剧,王梓骏吴俊霆 李孝谦
36340236,盛夏假期遇见爱,6.5,2026,美国,爱情,布雷特·海利艾米丽·巴德 汤姆·布莱斯
37480812,手遮天,6.5,2026,中国大陆,动作 犯罪 古装,刘文普刘峰超 袁福福
36135296,教场 Reunion,6.0,2026,日本,悬疑,中江功木村拓哉 大岛优子
36790513,过家家,6.6,2026,中国大陆,未知,李太言成龙 彭昱畅
35930441,后来的我们,7.3,2025,韩国,爱情,金度英具教焕 文佳煐
36073533,匿杀,5.5,2025,中国大陆,悬疑 犯罪,柯汶利彭昱畅 张钧甯
26389539,寻秦记,6.2,2025,中国香港 中国大陆,动作 奇幻 古装,吴炫辉 黎震龙古天乐 林峯
35461578,用武之地,7.2,2025,中国大陆,动作 战争,申奥肖央 齐溪
37089563,LAST MAN-全盲搜查官- FAKE／TRUTH,6.4,2025,日本,未知,平野俊一福山雅治 大泉洋
37014022,新狂蟒之灾,5.0,2025,美国,喜剧 动作 冒险,汤姆·戈米肯保罗·路德 杰克·布莱克
37022026,蓝调之歌,6.5,2025,美国,音乐 歌舞 传记 历史,克雷格·布鲁尔休·杰克曼 凯特·哈德森
36787731,万物生灵：2025圣诞特别集,8.9,2025,英国,未知,尼古拉斯·瑞夫 蕾切尔·申顿
37335483,今夜，就算这份爱恋从世界上消失,6.7,2025,韩国,爱情,金惠英秋泳愚 申诗雅
37512260,星与月是天上的洞,5.7,2025,日本,未知,荒井晴彦绫野刚 咲耶
36367195,家弑服务,7.1,2025,美国,悬疑 惊悚,保罗·费格西德尼·斯维尼 阿曼达·塞弗里德
